Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aaron Anselmino,ARG,Dortmund,German Bundesliga,CB,Defender,20,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.2,0.0,0.0,0.12,0.0,87.6,93.6,12.0,0.0,0.0,0.0,0.0,90.0,3.6,3.6,38.4,39.6,46.8,50.4,2.4,2.4,1442.4,558.0,63.6,4.8,385.2,259.2,1.2,0.0,0.0,0.0,0.0,2.4,2.4,2.4,0.0,0.0,2.4,2.4,0.0,0.0,0.0,0.0,6.0,1.2,4.8,1.2,0.0,1.2,84.0,1.2,104.4,2.4,30.0,70.8,3.6,0.0,104.4,0.0,0.0,0.0,2.4,1.2,0.0,0.0,0.0,0.0,1.2,1.2,2.4,18.0,0.0,1.2,4.8,0.0,1,0.0,50.0,0.0,96.97,92.86,100.0,100.0,0.0
Aaron Hickey,SCO,Brentford,English Premier League,RB,Defender,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.65,35.22,0.0,0.0,0.0,0.0,0.0,23.48,11.74,0.0,11.74,23.48,3.91,11.74,0.0,0.0,207.39,82.17,15.65,0.0,90.0,82.17,0.0,0.0,0.0,0.0,0.0,11.74,3.91,11.74,0.0,0.0,11.74,15.65,3.91,0.0,0.0,0.0,3.91,0.0,0.0,7.83,0.0,7.83,19.57,3.91,62.61,0.0,27.39,23.48,11.74,0.0,62.61,3.91,0.0,0.0,3.91,7.83,0.0,0.0,0.0,0.0,3.91,3.91,7.83,3.91,3.91,0.0,15.65,0.0,1,0.0,49.94,0.0,50.0,33.3,0.0,57.14,0.0
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,WB,Midfielder,27,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,2.5,2.0,2.0,3.5,0.1,0.05,51.0,60.5,3.0,0.0,0.0,3.5,0.5,50.0,10.0,0.0,32.5,34.0,14.0,17.0,2.5,3.0,717.0,257.0,40.5,2.5,202.0,102.0,1.0,0.0,3.0,1.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,1.5,0.0,3.0,0.0,4.0,1.5,0.0,1.5,47.0,7.0,69.5,2.0,17.0,28.5,25.0,2.0,69.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.5,2.5,6.0,1.0,0.0,1,0.0,100.0,0.0,95.59,82.35,83.33,100.0,50.0
Aaron Zehnter,GER,Wolfsburg,German Bundesliga,LB,Defender,20,179,0.5,0.0,1.01,0.5,0.05,0.05,0.0,0.0,2.51,0.5,1.01,1.51,0.0,0.0,2.01,0.05,0.1,38.72,50.78,1.51,0.0,0.0,2.51,0.0,38.72,12.07,1.01,16.09,18.1,17.09,19.11,5.03,10.56,745.64,240.84,31.68,1.01,104.58,57.32,2.51,0.5,0.5,0.5,0.0,1.01,0.5,1.01,0.0,0.0,0.5,1.01,0.5,2.01,1.01,1.01,1.51,0.0,3.52,0.5,0.0,0.5,30.67,4.02,56.82,4.02,25.14,18.1,14.08,2.01,56.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.5,1.51,6.54,3.02,2.51,1.01,0.45,1,0.5,66.89,0.0,88.9,89.43,47.63,49.5,100.0
Aarón Martín,ESP,Genoa,Italian Serie A,LB,Defender,28,360,0.0,0.0,0.5,0.5,0.02,0.02,0.0,0.0,2.75,0.0,1.5,2.75,0.5,0.25,6.0,0.18,0.2,37.25,53.0,2.75,0.0,0.25,1.0,0.0,37.25,15.75,3.0,16.5,18.25,16.5,21.0,3.75,11.75,664.0,267.25,33.0,1.25,180.25,63.0,1.25,0.0,1.0,1.0,0.0,2.25,1.5,1.25,0.75,0.25,0.75,0.75,0.0,0.5,1.0,0.75,1.75,0.0,4.75,1.0,1.0,2.0,32.0,3.0,61.0,1.5,20.75,27.0,13.5,1.0,61.0,0.25,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.25,0.5,0.75,7.0,2.75,1.75,2.25,-0.02,1,0.0,33.33,0.0,90.41,78.57,31.91,75.0,100.0
Abdallah Sima,SEN,Lens,French Ligue 1,AM,Forward,24,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.2,16.0,24.0,6.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,10.0,16.0,6.0,6.0,0.0,2.0,198.0,62.0,16.0,2.0,110.0,30.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,24.0,4.0,40.0,2.0,4.0,18.0,18.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,6.0,2.0,0.0,0.0,1,0.0,100.0,0.0,62.5,100.0,0.0,0.0,0.0
Abde Ezzalzouli,MAR,Betis,Spanish La Liga,LW,Forward,23,109,0.0,0.83,4.13,0.83,0.25,0.25,0.0,0.0,9.08,0.83,3.3,0.0,1.65,0.0,3.3,0.91,1.07,29.72,37.16,3.3,0.0,0.0,1.65,0.0,35.5,1.65,0.83,19.82,20.64,6.61,10.73,0.0,0.83,336.06,115.6,38.81,9.91,393.85,250.18,4.13,5.78,10.73,4.13,4.13,3.3,1.65,1.65,0.83,0.83,1.65,1.65,0.0,0.83,1.65,0.0,2.48,0.0,4.95,3.3,0.83,4.13,38.81,14.04,58.62,2.48,5.78,20.64,34.68,11.56,58.62,0.0,0.0,0.0,0.0,7.43,0.0,0.0,0.0,0.0,0.0,0.83,0.83,27.25,9.91,18.99,3.3,-0.25,1,0.0,0.0,0.0,96.03,61.6,0.0,66.67,38.49
Abde Rebbach,ALG,Alavés,Spanish La Liga,LM,Midfielder,27,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,14.21,4.74,0.0,14.21,0.0,0.0,56.84,80.53,14.21,0.0,0.0,0.0,0.0,56.84,23.68,9.47,28.42,28.42,18.95,28.42,9.47,23.68,1051.58,312.63,42.63,4.74,431.05,298.42,9.47,0.0,4.74,4.74,0.0,9.47,0.0,9.47,0.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,14.21,0.0,0.0,0.0,52.11,4.74,85.26,0.0,14.21,37.89,42.63,4.74,85.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.68,0.0,9.47,0.0,0.0,1,0.0,0.0,0.0,100.0,66.68,39.99,0.0,100.0
Abdel Abqar,MAR,Getafe,Spanish La Liga,CB,Defender,26,72,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,27.5,36.25,1.25,0.0,2.5,0.0,0.0,33.75,2.5,1.25,8.75,10.0,17.5,18.75,1.25,6.25,577.5,132.5,30.0,0.0,130.0,61.25,0.0,0.0,0.0,0.0,0.0,2.5,1.25,2.5,0.0,0.0,1.25,1.25,0.0,2.5,1.25,0.0,2.5,0.0,3.75,1.25,0.0,1.25,30.0,0.0,48.75,2.5,28.75,18.75,1.25,0.0,48.75,0.0,0.0,0.0,1.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.5,0.0,1,0.0,0.0,0.0,87.5,93.33,20.0,66.67,0.0
Abdelhamid Ait Boudlal,MAR,Rennes,French Ligue 1,CB,Defender,19,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,3.6,1.2,0.0,0.0,0.0,0.0,33.6,39.6,3.6,0.0,0.0,0.0,0.0,36.0,3.6,3.6,13.2,15.6,16.8,16.8,3.6,7.2,615.6,248.4,25.2,1.2,96.0,48.0,1.2,1.2,0.0,0.0,0.0,1.2,1.2,0.0,1.2,0.0,1.2,2.4,1.2,3.6,2.4,1.2,2.4,0.0,3.6,2.4,0.0,2.4,31.2,1.2,50.4,3.6,26.4,20.4,3.6,1.2,50.4,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,6.0,1.2,3.6,2.4,0.0,1,0.0,0.0,0.0,84.62,100.0,50.0,66.67,0.0
