Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alan Aguerre,ar ARG,GK,ar Cen. Córdoba–SdE,34-341,1990,6,6,540,6.0,7,1.17,18,11,61.1,3,2,1,1,16.7,0,0,0,0,,Matches,1,Alan Aguerre,ar ARG,GK,ar Cen. Córdoba–SdE,34-341,1990,6.0,7,0,1,0,0,4.2,0.24,-2.8,-0.46,10,58,17.2,91,19,34.1,32.6,55,49.1,39.3,84,3,3.6,2,0.33,12.3,Matches
2,Guillermo de Amores,uy URU,GK,uy Peñarol,30-284,1994,3,3,270,3.0,2,0.67,10,8,80.0,2,1,0,2,66.7,0,0,0,0,,Matches,2,Guillermo de Amores,uy URU,GK,uy Peñarol,30-284,1994,3.0,2,0,0,1,0,1.8,0.18,-0.2,-0.08,11,40,27.5,69,19,43.5,37.1,20,50.0,42.1,29,1,3.4,0,0.00,2.0,Matches
3,Anthoni,br BRA,GK,br Internacional,23-188,2002,6,6,540,6.0,8,1.33,29,21,72.4,3,2,1,2,33.3,0,0,0,0,,Matches,3,Anthoni,br BRA,GK,br Internacional,23-188,2002,6.0,8,0,0,2,0,7.8,0.27,-0.2,-0.03,15,47,31.9,87,23,35.6,33.9,52,30.8,30.3,76,6,7.9,5,0.83,12.1,Matches
4,Gabriel Arias,cl CHI,GK,ar Racing Club,37-320,1987,6,6,540,6.0,3,0.50,14,11,78.6,4,1,1,4,66.7,0,0,0,0,,Matches,4,Gabriel Arias,cl CHI,GK,ar Racing Club,37-320,1987,6.0,3,0,0,0,0,3.6,0.25,+0.6,+0.09,16,69,23.2,133,10,42.1,38.2,41,31.7,32.3,56,4,7.1,7,1.17,16.3,Matches
5,Franco Armani,ar ARG,GK,ar River Plate,38-287,1986,6,6,540,6.0,7,1.17,11,5,36.4,3,3,0,2,33.3,0,0,0,0,,Matches,5,Franco Armani,ar ARG,GK,ar River Plate,38-287,1986,6.0,7,0,0,0,1,3.2,0.29,-2.8,-0.47,20,51,39.2,95,26,31.6,31.4,47,44.7,39.1,51,3,5.9,6,1.00,16.1,Matches
6,Marino Arzamendia,py PAR,GK,py Olimpia,27-192,1998,2,2,180,2.0,7,3.50,12,5,58.3,0,0,2,0,0.0,2,2,0,0,0.0,Matches,6,Marino Arzamendia,py PAR,GK,py Olimpia,27-192,1998,2.0,7,2,0,0,0,5.0,0.29,-2.0,-0.98,13,26,50.0,42,7,45.2,38.1,14,50.0,44.4,19,1,5.3,4,2.00,19.0,Matches
7,Sebastián Britos,uy URU,GK,pe Universitario,37-209,1988,6,6,540,6.0,4,0.67,27,23,85.2,2,2,2,2,33.3,0,0,0,0,,Matches,7,Sebastián Britos,uy URU,GK,pe Universitario,37-209,1988,6.0,4,0,0,1,0,6.6,0.26,+2.6,+0.44,42,108,38.9,93,18,63.4,44.5,61,80.3,56.3,105,3,2.9,11,1.83,18.7,Matches
8,Lucas Bruera,ar ARG,GK,ve Carabobo,27-284,1997,6,6,540,6.0,13,2.17,39,26,74.4,0,1,5,0,0.0,3,3,0,0,0.0,Matches,8,Lucas Bruera,ar ARG,GK,ve Carabobo,27-284,1997,6.0,13,3,2,4,0,11.2,0.25,-1.8,-0.29,11,54,20.4,67,18,46.3,38.9,60,38.3,30.9,95,3,3.2,4,0.67,11.3,Matches
9,Javier Burrai,ec ECU,GK,ar Talleres,34-294,1990,3,3,270,3.0,2,0.67,10,7,80.0,1,1,1,2,66.7,1,0,1,0,100.0,Matches,9,Javier Burrai,ec ECU,GK,ar Talleres,34-294,1990,3.0,2,0,0,0,0,3.0,0.24,+1.0,+0.33,12,24,50.0,67,22,23.9,28.4,20,40.0,39.9,39,4,10.3,2,0.67,13.4,Matches
